Video,Model,Aktarim_Modu,Frame_ID,Decode_Zamani_ms,Stabil_FPS
12331098_1080_1920_25fps,V5_Standart,CODEC,97,33.8,29.55
12331098_1080_1920_25fps,V5_Standart,CODEC,98,33.89,29.55
12331098_1080_1920_25fps,V5_Standart,CODEC,99,33.85,29.54
12331098_1080_1920_25fps,V5_Standart,CODEC,100,33.84,29.55
12331098_1080_1920_25fps,V5_Standart,CODEC,101,33.9,29.55
12331098_1080_1920_25fps,V5_Standart,CODEC,102,33.79,29.55
12331098_1080_1920_25fps,V5_Standart,CODEC,103,33.77,29.55
12331098_1080_1920_25fps,V5_Standart,CODEC,104,33.81,29.55
12331098_1080_1920_25fps,V5_Standart,CODEC,105,33.79,29.55
12331098_1080_1920_25fps,V5_Standart,CODEC,106,33.83,29.55
12331098_1080_1920_25fps,V5_Standart,CODEC,107,33.88,29.55
12331098_1080_1920_25fps,V5_Standart,CODEC,108,33.83,29.55
12331098_1080_1920_25fps,V5_Standart,CODEC,109,33.78,29.55
12331098_1080_1920_25fps,V5_Standart,CODEC,110,33.89,29.55
12331098_1080_1920_25fps,V5_Standart,CODEC,111,33.89,29.54
12331098_1080_1920_25fps,V5_Standart,CODEC,112,33.86,29.55
12331098_1080_1920_25fps,V5_Standart,CODEC,113,33.91,29.54
12331098_1080_1920_25fps,V5_Standart,CODEC,114,33.91,29.54
12331098_1080_1920_25fps,V5_Standart,CODEC,115,33.94,29.55
12331098_1080_1920_25fps,V5_Standart,CODEC,116,33.95,29.54
12331098_1080_1920_25fps,V5_Standart,CODEC,117,33.79,29.54
12331098_1080_1920_25fps,V5_Standart,CODEC,118,33.88,29.54
12331098_1080_1920_25fps,V5_Standart,CODEC,119,33.98,29.54
12331098_1080_1920_25fps,V5_Standart,CODEC,120,33.83,29.54
12331098_1080_1920_25fps,V5_Standart,CODEC,121,33.87,29.54
12331098_1080_1920_25fps,V5_Standart,CODEC,122,33.9,29.54
12331098_1080_1920_25fps,V5_Standart,CODEC,123,33.88,29.54
12331098_1080_1920_25fps,V5_Standart,CODEC,124,33.89,29.53
12331098_1080_1920_25fps,V5_Standart,CODEC,125,33.79,29.54
12331098_1080_1920_25fps,V5_Standart,CODEC,126,33.92,29.53
12331098_1080_1920_25fps,V5_Standart,CODEC,127,33.76,29.53
12331098_1080_1920_25fps,V5_Standart,CODEC,128,33.84,29.53
12331098_1080_1920_25fps,V5_Standart,CODEC,129,33.86,29.53
12331098_1080_1920_25fps,V5_Standart,CODEC,130,33.82,29.53
12331098_1080_1920_25fps,V5_Standart,CODEC,131,33.87,29.54
12331098_1080_1920_25fps,V5_Standart,CODEC,132,33.92,29.53
12331098_1080_1920_25fps,V5_Standart,CODEC,133,33.79,29.53
12331098_1080_1920_25fps,V5_Standart,CODEC,134,33.83,29.53
12331098_1080_1920_25fps,V5_Standart,CODEC,135,33.86,29.53
12331098_1080_1920_25fps,V5_Standart,CODEC,136,33.85,29.53
12331098_1080_1920_25fps,V5_Standart,CODEC,137,33.83,29.53
12331098_1080_1920_25fps,V5_Standart,CODEC,138,33.85,29.53
12331098_1080_1920_25fps,V5_Standart,CODEC,139,33.83,29.53
12331098_1080_1920_25fps,V5_Standart,CODEC,140,33.8,29.53
12331098_1080_1920_25fps,V5_Standart,CODEC,141,33.83,29.53
12331098_1080_1920_25fps,V5_Standart,CODEC,142,33.82,29.53
12331098_1080_1920_25fps,V5_Standart,CODEC,143,33.96,29.53
12331098_1080_1920_25fps,V5_Standart,CODEC,144,33.85,29.53
12331098_1080_1920_25fps,V5_Standart,CODEC,145,33.84,29.54
12331098_1080_1920_25fps,V5_Standart,CODEC,146,33.9,29.54
12331098_1080_1920_25fps,V5_Standart,CODEC,147,33.81,29.54
12331098_1080_1920_25fps,V5_Standart,CODEC,148,33.87,29.54
12331098_1080_1920_25fps,V5_Standart,CODEC,149,33.88,29.54
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,0,33.84,29.55
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,1,46.56,24.88
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,2,38.47,25.24
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,3,36.87,25.68
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,4,35.48,26.15
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,5,34.56,26.57
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,6,34.59,26.88
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,7,34.72,27.11
